Empid,hrs,date
,2,
,3,
,2,
,1,
,3,
,2,
,1,
,1,
,1,
,1.5,
,2,
,2,
,1.5,
,1,
,1.5,
,1,
,1,
,2.5,
,2,
,2,
,1,
,2,
,1,
,1,
,1,
,2,
,1,
,3,
,2,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,2022-04-25 00:00:00
,,2022-04-25 00:00:00
,,2022-04-25 00:00:00
,,2022-04-25 00:00:00
,,2022-04-26 00:00:00
,,2022-04-26 00:00:00
,,2022-04-26 00:00:00
,,2022-04-26 00:00:00
,,2022-04-26 00:00:00
,,2022-04-27 00:00:00
,,2022-04-27 00:00:00
,,2022-04-27 00:00:00
,,2022-04-27 00:00:00
,,2022-04-27 00:00:00
,,2022-04-28 00:00:00
,,2022-04-28 00:00:00
,,2022-04-28 00:00:00
,,2022-04-28 00:00:00
,,2022-04-28 00:00:00
,,2022-04-29 00:00:00
,,2022-04-29 00:00:00
,,2022-04-29 00:00:00
,,2022-04-29 00:00:00
,,2022-04-29 00:00:00
,,2022-04-29 00:00:00
,,2022-04-30 00:00:00
,,2022-04-30 00:00:00
,,2022-04-30 00:00:00
,,2022-04-30 00:00:00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
